종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"290120","DH오토리드","KOSDAQ","우량기업부","2275","30","1.34","2245","2285","2220","20002","44690915","36000166475","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","819","-12","-1.44","839","841","815","61790","50609860","39951822456","48781224"
"001530","DI동일","KOSPI",,"18890","-440","-2.28","19500","19500","18840","49331","937549280","372686099200","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"41100","200","0.49","41600","41650","40550","71451","2937184650","861286832400","20955884"
"000215","DL우","KOSPI",,"26950","500","1.89","26550","27000","26100","21053","559608525","45440799250","1686115"
"375500","DL이앤씨","KOSPI",,"44400","2050","4.84","43700","45700","43700","347550","15528732875","1717996861200","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"31050","950","3.16","30850","32100","30750","1870","58156525","65576078550","2111951"
"37550K","DL이앤씨우","KOSPI",,"21750","550","2.59","21800","21850","21200","13244","285983325","45976998750","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23300","0","0.00","23600","23600","23100","45145","1048914800","1363303154500","58510865"
"004840","DRB동일","KOSPI",,"4750","-70","-1.45","4825","4825","4745","8748","41722005","94667500000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7630","-120","-1.55","7820","7840","7530","538191","4116641785","206010000000","27000000"
"155660","DSR","KOSPI",,"3855","-15","-0.39","3870","3870","3815","6379","24473035","61680000000","16000000"
"069730","DSR제강","KOSPI",,"3755","35","0.94","3720","3760","3690","10524","39105605","54072000000","14400000"
"017860","DS단석","KOSPI",,"21600","-500","-2.26","22100","22250","21500","74367","1615466325","379818979200","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","2005","-45","-2.20","2070","2090","1977","258189","516671630","98684961160","49219432"
"092780","DYP","KOSPI",,"3590","40","1.13","3575","3620","3560","1811","6523080","47274771400","13168460"
"017940","E1","KOSPI",,"74800","-600","-0.80","75700","75700","74200","6233","464965750","513128000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","2325","5","0.22","2335","2350","2285","47607","110368061","29877359025","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","6370","210","3.41","6160","6370","6080","69807","438871930","54941071640","8624972"
"278990","EMB","KONEX","일반기업부","3300","410","14.19","3300","3300","3300","1","3300","15961542300","4836831"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4395","-25","-0.57","4415","4425","4380","168706","741699897","1081561155000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2940","-60","-2.00","2965","2995","2885","46091","134854074","39878412840","13564086"
"383220","F&F","KOSPI",,"63500","-1200","-1.85","65500","65500","63100","41585","2648759850","2432499262500","38307075"
"007700","F&F홀딩스","KOSPI",,"18180","-150","-0.82","18680","18680","18110","12896","234372900","711099192060","39114367"
"214270","FSN","KOSDAQ","중견기업부","2065","-10","-0.48","2075","2080","2045","43132","88746736","90221830335","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2500","-5","-0.20","2520","2520","2480","18223","45419840","36362630000","14545052"
"114090","GKL","KOSPI",,"16240","-230","-1.40","16590","16590","16020","118053","1908346765","1004536080800","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2880","-40","-1.37","2950","2950","2860","126319","365375075","232848000000","80850000"
"078930","GS","KOSPI",,"49050","-50","-0.10","49100","49300","48300","173769","8463036475","4557499290900","92915378"
"083450","GST","KOSDAQ","우량기업부","25450","50","0.20","25850","25850","24600","171984","4331151950","469043500000","18430000"
"006360","GS건설","KOSPI",,"19100","250","1.33","19100","19290","18970","354715","6794902110","1634606459000","85581490"
"001250","GS글로벌","KOSPI",,"2510","-10","-0.40","2520","2530","2500","259619","651314715","207159747640","82533764"
"007070","GS리테일","KOSPI",,"18140","-290","-1.57","18500","18520","18050","108785","1983917110","1516638508100","83607415"
"078935","GS우","KOSPI",,"44700","-150","-0.33","44850","45000","42150","5923","262939725","79781722200","1784826"
"499790","GS피앤엘","KOSPI",,"39200","-1200","-2.97","40700","41000","38800","69974","2749730575","777368967200","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2605","-15","-0.57","2635","2670","2575","214080","558039697","190532080970","73140914"
